Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Total_Passengers_Est,Fatal_Injury_Rate,Serious_Injury_Rate,Severe_Injury_Rate,Is_Destroyed,Make_Model
20001214X42331,Accident,ATL83FA140,1983-03-20,"CROSSVILLE, TN",United States,,,,,Fatal(1),Destroyed,Airplane,N9600W,PIPER,PA-28-140,No,1.0,Reciprocating,Part 91: General Aviation,Personal,,1.0,1.0,0.0,0.0,IMC,Cruise,Probable Cause,02-05-2011,2.0,0.5,0.5,1.0,True,PIPER_PA-28-140
20001214X40407,Accident,MKC84FA197,1984-07-03,"WRIGHT, AR",United States,,,,,Fatal(1),Destroyed,Airplane,N4025,PIPER,PA-18-150,No,1.0,Reciprocating,Part 137: Agricultural,Aerial Application,,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,15-12-2009,1.0,1.0,0.0,1.0,True,PIPER_PA-18-150
20001214X41706,Accident,ATL85FA072,1984-12-30,"DUBLIN, VA",United States,,,PSK,NEW RIVER VALLEY,Fatal(1),Destroyed,Airplane,N4963D,CESSNA,182A,No,1.0,Reciprocating,Part 91: General Aviation,Skydiving,,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,17-10-2016,1.0,1.0,0.0,1.0,True,CESSNA_182A
20001214X35509,Accident,DEN85LA064,1985-01-14,"WAPITI, WY",United States,,,,,Non-Fatal,Destroyed,Airplane,N759WB,CESSNA,182Q,No,1.0,Reciprocating,Part 91: General Aviation,Personal,,0.0,1.0,1.0,0.0,VMC,Maneuvering,Probable Cause,12-01-2016,2.0,0.0,0.5,0.5,True,CESSNA_182Q
20001214X36887,Accident,NYC85FA145B,1985-06-11,"BELMAR, NJ",United States,,,BLM,BELMAR MONMOUTH CO.,Fatal(1),Destroyed,Airplane,N4956B,CESSNA,152,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,,1.0,1.0,4.0,0.0,VMC,Takeoff,Probable Cause,08-04-2013,6.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,True,CESSNA_152
20001214X37718,Accident,ATL85MA286,1985-09-29,"JENKINSBURG, GA",United States,,,,WEST WIND SPORT PARACHUTE,Fatal(17),Destroyed,Airplane,N551CC,CESSNA,208,No,1.0,Turbo Prop,Part 91: General Aviation,Skydiving,,17.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,17-10-2016,17.0,1.0,0.0,1.0,True,CESSNA_208
20001213X33697,Accident,SEA86FA121A,1986-05-19,"MEAD, WA",United States,,,,,Fatal(2),Destroyed,Airplane,N6161M,CESSNA,152,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,,2.0,0.0,1.0,0.0,VMC,Maneuvering,Probable Cause,17-10-2016,3.0,0.6666666666666666,0.0,0.6666666666666666,True,CESSNA_152
20001213X26459,Accident,BFO88LA073,1988-08-07,"RACINE, WV",United States,,,CRW,YEAGER,Non-Fatal,Substantial,Airplane,N4873T,PIPER,PA-28-180,No,1.0,Reciprocating,Part 91: General Aviation,Ferry,,0.0,0.0,1.0,0.0,VMC,Cruise,Probable Cause,02-05-2011,1.0,0.0,0.0,0.0,False,PIPER_PA-28-180
20001213X28948,Accident,NYC89FA177A,1989-07-30,"SALISBURY TWP, PA",United States,,,1N9,ALLENTOWN QUEEN CITY,Fatal(7),Destroyed,Airplane,N2063V,BEECH,A36,No,1.0,Reciprocating,Part 91: General Aviation,Skydiving,,7.0,0.0,0.0,0.0,VMC,Approach,Probable Cause,17-10-2016,7.0,1.0,0.0,1.0,True,BEECH_A36
20001213X29904,Accident,ATL90FA040A,1989-12-17,"CINCINNATI, OH",United States,,,LUK,LUNKEN FIELD,Fatal(1),Substantial,Airplane,N8940T,CESSNA,182,No,1.0,Reciprocating,Part 91: General Aviation,Unknown,,1.0,0.0,1.0,1.0,VMC,Maneuvering,Probable Cause,11-12-2012,3.0,0.3333333333333333,0.0,0.3333333333333333,False,CESSNA_182
